_id_x,customerId,productId,interactionType,productName,description,productCatrgoryName,productCategoryId
64440ba86114678ff14f7d76,6444081c6114678ff14f7ca0,644408526114678ff14f7cd0,1,Brussels sprouts,"President two executive itself physical view exist.
What responsibility now man picture whose those institution. Boy picture fact ground everyone spend theory. Cover key contain.",Vegetable,2
64440ba86114678ff14f7f9e,6444081c6114678ff14f7ca5,644408526114678ff14f7cd0,1,Brussels sprouts,"President two executive itself physical view exist.
What responsibility now man picture whose those institution. Boy picture fact ground everyone spend theory. Cover key contain.",Vegetable,2
64440ba86114678ff14f812a,6444081c6114678ff14f7c87,644408526114678ff14f7cd0,3,Brussels sprouts,"President two executive itself physical view exist.
What responsibility now man picture whose those institution. Boy picture fact ground everyone spend theory. Cover key contain.",Vegetable,2
64440ba86114678ff14f7eda,6444081c6114678ff14f7c97,644408526114678ff14f7cd0,1,Brussels sprouts,"President two executive itself physical view exist.
What responsibility now man picture whose those institution. Boy picture fact ground everyone spend theory. Cover key contain.",Vegetable,2
64440ba86114678ff14f7f1b,6444081c6114678ff14f7c88,644408526114678ff14f7cd0,2,Brussels sprouts,"President two executive itself physical view exist.
What responsibility now man picture whose those institution. Boy picture fact ground everyone spend theory. Cover key contain.",Vegetable,2
64440ba86114678ff14f7ecc,6444081c6114678ff14f7c7a,644408526114678ff14f7cd0,1,Brussels sprouts,"President two executive itself physical view exist.
What responsibility now man picture whose those institution. Boy picture fact ground everyone spend theory. Cover key contain.",Vegetable,2
64440ba86114678ff14f7f41,6444081c6114678ff14f7c96,644408526114678ff14f7cd0,2,Brussels sprouts,"President two executive itself physical view exist.
What responsibility now man picture whose those institution. Boy picture fact ground everyone spend theory. Cover key contain.",Vegetable,2
64440ba86114678ff14f7e67,6444081c6114678ff14f7ca0,644408526114678ff14f7d27,3,Rutabaga,"Water including vote case. Sound soon bring three.
Fish enough form require you music miss. Continue family right by research. Career eye many sea now image.",Vegetable,2
64440ba86114678ff14f7e7a,6444081c6114678ff14f7c79,644408526114678ff14f7d27,1,Rutabaga,"Water including vote case. Sound soon bring three.
Fish enough form require you music miss. Continue family right by research. Career eye many sea now image.",Vegetable,2
64440ba86114678ff14f7e4c,6444081c6114678ff14f7c96,644408526114678ff14f7d27,1,Rutabaga,"Water including vote case. Sound soon bring three.
Fish enough form require you music miss. Continue family right by research. Career eye many sea now image.",Vegetable,2
